Australian I-MISC
Davis B-MISC
Cup I-MISC
captain O
John I-PER
Newcombe I-PER
on O
Thursday O
signalled O
his O
possible O
resignation O
if O
his O
team O
loses O
an O
away O
tie O
against O
Croatia I-LOC
next O
month O
. O

Summary O
of O
the O
Spanish I-MISC
Super B-MISC
Cup I-MISC
, O
second O
leg O
, O
played O
on O
Wednesday O
: O

Rwanda I-LOC
said O
on O
Saturday O
that O
Zaire I-LOC
had O
expelled O
28 O
Rwandan I-MISC
Hutu B-MISC
refugees O
accused O
of O
being O
"""" O
trouble O
- O
makers O
"""" O
in O
camps O
in O
eastern O
Zaire I-LOC
. O

The O
Russians I-MISC
, O
working O
for O
the O
Aerostan I-ORG
firm O
in O
the O
Russian I-MISC
republic O
of O
Tatarstan I-LOC
, O
were O
taken O
hostage O
after O
a O
Taleban I-MISC
MiG B-MISC
- B-MISC
19 B-MISC
fighter O
forced O
their O
cargo O
plane O
to O
land O
in O
August O
1995 O
. O

Wenatchee I-LOC
WA B-LOC
5 O
. O
15 O
up O
. O
02 O
- O
- O
- O
- O
- O
- O
4 O
. O
7200 O
unc O

The O
armed O
hijackers O
of O
the O
Airbus I-MISC
310 I-MISC
Flight B-MISC
150 I-MISC
, O
which O
is O
expected O
to O
arrive O
about O
4 O
a O
. O
m O
. O
( O
0300 O
GMT I-MISC
) O
, O
have O
said O
they O
intend O
to O
surrender O
and O
seek O
political O
asylum O
in O
Britain I-LOC
. O

Andrea I-PER
Ferrigato I-PER
of O
Italy I-LOC
sprinted O
to O
his O
second O
cycling O
World I-MISC
Cup I-MISC
win O
in O
successive O
weekends O
with O
victory O
in O
the O
Swiss I-MISC
Grand B-MISC
Prix I-MISC
on O
Sunday O
. O

He O
said O
they O
had O
made O
various O
requests O
to O
police O
negotiators O
but O
stepped O
back O
from O
earlier O
suggestions O
that O
the O
hijackers O
had O
asked O
to O
speak O
to O
a O
British I-MISC
- I-MISC
based I-MISC
Iraqi B-MISC
police O
named O
as O
Mr O
Sadiki I-PER
. O

He O
shared O
victory O
with O
Matthew I-PER
Pinsent I-PER
in O
the O
coxless O
pairs O
at O
the O
Atlanta B-MISC
Games I-MISC
and O
said O
at O
the O
time O
that O
would O
be O
his O
last O
shot O
. O

Coolee I-LOC
City I-LOC
WA B-LOC
5 O
. O
13 O
up O
. O
02 O
- O
- O
- O
- O
- O
- O
4 O
. O
7000 O
unc O

Wolf I-LOC
Point I-LOC
MT B-LOC
4 O
. O
41 O
dn O
. O
10 O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O

Pendleton I-LOC
OR B-LOC
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
4 O
. O
7300 O
up O
. O
01 O

Rudyard I-LOC
MT B-LOC
4 O
. O
54 O
dn O
. O
10 O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O

Havre I-LOC
MT B-LOC
4 O
. O
54 O
dn O
. O
10 O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O

Billings I-LOC
MT B-LOC
4 O
. O
62 O
up O
. O
01 O
4 O
. O
50 O
dn O
. O
01 O
- O
- O
- O
- O
- O
- O

Tension O
has O
mounted O
since O
Israeli I-MISC
Prime O
Minister O
Benjamin I-PER
Netanyahu I-PER
took O
office O
in O
June O
vowing O
to O
retain O
the O
Golan I-LOC
Heights I-LOC
Israel B-LOC
captured O
from O
Syria I-LOC
in O
the O
1967 O
Middle I-LOC
East I-LOC
war O
. O

Waterville I-LOC
WA B-LOC
5 O
. O
05 O
up O
. O
02 O
- O
- O
- O
- O
- O
- O
4 O
. O
6200 O
unc O

Portland I-LOC
OR B-LOC
5 O
. O
60 O
up O
. O
02 O
5 O
. O
1700 O
dn O
. O
01 O

