Former O
England I-LOC
manager O
Bobby I-PER
Robson I-PER
enjoyed O
his O
first O
success O
in O
charge O
of O
Barcelona I-ORG
as O
his O
team O
weathered O
90 O
minutes O
of O
non O
- O
stop O
Atletico I-ORG
Madrid I-ORG
pressure O
to O
win O
the O
Spanish I-MISC
Super B-MISC
Cup I-MISC
6 O
- O
5 O
on O
aggregate O
on O
Wednesday O
. O

Rwanda I-LOC
said O
on O
Saturday O
that O
Zaire I-LOC
had O
expelled O
28 O
Rwandan I-MISC
Hutu B-MISC
refugees O
accused O
of O
being O
"""" O
trouble O
- O
makers O
"""" O
in O
camps O
in O
eastern O
Zaire I-LOC
. O

Rudyard I-LOC
MT B-LOC
4 O
. O
54 O
dn O
. O
10 O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O

Wolf I-LOC
Point I-LOC
MT B-LOC
4 O
. O
41 O
dn O
. O
10 O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O

Wenatchee I-LOC
WA B-LOC
5 O
. O
15 O
up O
. O
02 O
- O
- O
- O
- O
- O
- O
4 O
. O
7200 O
unc O

Coolee I-LOC
City I-LOC
WA B-LOC
5 O
. O
13 O
up O
. O
02 O
- O
- O
- O
- O
- O
- O
4 O
. O
7000 O
unc O

Portland I-LOC
OR B-LOC
5 O
. O
60 O
up O
. O
02 O
5 O
. O
1700 O
dn O
. O
01 O

The O
MQM I-ORG
speaks O
for O
Urdu B-MISC
- B-MISC
speaking B-MISC
Moslems I-MISC
who O
migrated O
from O
India I-LOC
at O
Partition I-LOC
in O
1947 O
and O
their O
descendants O
. O

The O
15 O
survivors O
who O
had O
been O
on O
board O
the O
Russian I-MISC
- I-MISC
made I-MISC
MI B-MISC
- B-MISC
17 B-MISC
helicopter O
were O
taken O
to O
hospital O
from O
the O
remote O
jungle O
crash O
site O
about O
150 O
km O
( O
90 O
miles O
) O
north O
of O
Phnom I-LOC
Penh I-LOC
, O
Information O
Minister O
Ieng I-PER
Mouly I-PER
said O
. O

Result O
of O
the O
Spanish I-MISC
Super B-MISC
Cup I-MISC
, O
second O
leg O
, O
played O
on O
Wednesday O
: O

Egypt I-LOC
has O
banned O
and O
confiscated O
10 O
, O
000 O
copies O
of O
the O
Cyprus I-MISC
- I-MISC
based I-MISC
Arabic B-MISC
monthly O
newspaper O
al I-ORG
- I-ORG
Tadamun I-ORG
because O
of O
an O
editorial O
suggesting O
mental O
health O
tests O
for O
Arab I-MISC
leaders O
, O
the O
editor O
- O
in O
- O
chief O
said O
on O
Tuesday O
. O

Summary O
of O
the O
Spanish I-MISC
Super B-MISC
Cup I-MISC
, O
second O
leg O
, O
played O
on O
Wednesday O
: O

The O
Yankees I-ORG
have O
lost O
12 O
of O
their O
last O
19 O
games O
and O
their O
lead O
in O
the O
AL I-MISC
East B-MISC
over O
Baltimore I-ORG
fell O
to O
five O
games O
. O

Waterville I-LOC
WA B-LOC
5 O
. O
05 O
up O
. O
02 O
- O
- O
- O
- O
- O
- O
4 O
. O
6200 O
unc O

He O
shared O
victory O
with O
Matthew I-PER
Pinsent I-PER
in O
the O
coxless O
pairs O
at O
the O
Atlanta B-MISC
Games I-MISC
and O
said O
at O
the O
time O
that O
would O
be O
his O
last O
shot O
. O

The O
armed O
hijackers O
of O
the O
Airbus I-MISC
310 I-MISC
Flight B-MISC
150 I-MISC
, O
which O
is O
expected O
to O
arrive O
about O
4 O
a O
. O
m O
. O
( O
0300 O
GMT I-MISC
) O
, O
have O
said O
they O
intend O
to O
surrender O
and O
seek O
political O
asylum O
in O
Britain I-LOC
. O

Pendleton I-LOC
OR B-LOC
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
- O
4 O
. O
7300 O
up O
. O
01 O

Czech I-MISC
